"rec","dens_0","conn_0","conn_agri","conn_wtr","g0_1"
126,-1.07914271365871,0.977771762579973,0.765609125334318,-3.87733418205039,-2.37501259086557
127,-1.08716769329524,0.978171367750255,0.759487794501609,-3.89403136297015,-2.36431513864255
128,-1.09511016706339,0.97809137786574,0.7528784456517,-3.91072798626569,-2.35369208823518
129,-1.10297158849831,0.977458946338989,0.74572256953044,-3.92743592572173,-2.34314129795172
130,-1.11075276866773,0.976192048665572,0.738013505553235,-3.94416737071864,-2.33266037388966
131,-1.11845376978544,0.974200105327271,0.729840601260544,-3.96093700306144,-2.32224670849582
132,-1.12607367087253,0.971387121819123,0.721409732387699,-3.97775854189102,-2.31189766830664
133,-1.13361018929824,0.967664714450722,0.713036255725281,-3.99464514970981,-2.30161095859818
134,-1.14105919869744,0.962967919089009,0.705085091609426,-4.01160642460489,-2.29138514163934
135,-1.14841425896026,0.957273809679438,0.697867447267324,-4.02864655638964,-2.28122019422229
136,-1.15566634599543,0.950615127149787,0.691535263866023,-4.04576190892237,-2.27111791894904
137,-1.16280397036907,0.943083254754539,0.686013961758764,-4.06294094511701,-2.2610820343314
138,-1.16981379999391,0.93481878349342,0.681010640473501,-4.08016472909602,-2.25111785474501
139,-1.17668175161929,0.925989998242495,0.676091093671016,-4.09741090859849,-2.2412316128899
140,-1.18339436248764,0.916766475203957,0.670807909652042,-4.11465661262138,-2.23142959416216
141,-1.18994014229301,0.907292781060814,0.664827600410022,-4.13188297363883,-2.22171732279033
142,-1.19631059925775,0.897671725765012,0.658027081897659,-4.14907685830077,-2.21209901577224
143,-1.20250070713911,0.887959231539649,0.65052366248742,-4.16623199266685,-2.20257744557253
144,-1.20850872580309,0.878173110723203,0.642633412332889,-4.18334762938244,-2.19315422636536
145,-1.21433545978482,0.868311642493196,0.634769890889504,-4.20042604792482,-2.18383041392816
146,-1.21998319853119,0.858375285886811,0.627317696229156,-4.21746901712326,-2.17460721660169
147,-1.22545467614861,0.848385249239339,0.620520798585818,-4.23447549080879,-2.16548658957226
148,-1.23075238473492,0.838392862216182,0.614423119371619,-4.25143955661688,-2.15647153089414
149,-1.23587844857157,0.828477052614839,0.608875004428841,-4.26835104027142,-2.14756600468022
150,-1.24083506678981,0.818732791733509,0.603600445812889,-4.2851970437894,-2.13877453843927
151,-1.24562533120845,0.809253524689832,0.598295113165064,-4.30196429534011,-2.13010164172084
152,-1.25025410704867,0.80011405445902,0.592722769921839,-4.31864257263587,-2.12155123330313
153,-1.25472865780171,0.791358501549882,0.586780053092275,-4.33522581807066,-2.11312624353421
154,-1.2590587929379,0.782996797885841,0.580513997665126,-4.35171318801996,-2.10482848805876
155,-1.26325647519926,0.775009829559331,0.574091640944213,-4.36810802710159,-2.09665881844714
156,-1.2673349921475,0.767360435596135,0.567737728403678,-4.38441638978611,-2.08861747191736
157,-1.27130791725881,0.760007162390978,0.56166284026329,-4.4006448405582,-2.08070449413834
158,-1.27518813371269,0.75291616244554,0.556004566241904,-4.41679837333732,-2.07292010297409
